#RPLIDAR SCAN DATA
#COUNT=466
#Angule	Distance	Quality
199.1986 802.0 188
199.7150 811.0 188
200.4675 816.0 188
201.1047 815.0 188
201.7310 814.0 188
202.3737 822.0 188
202.8735 829.0 188
203.5107 843.0 188
204.1370 847.0 188
204.7797 866.0 188
205.2960 876.0 188
206.0596 883.0 188
206.7023 885.0 188
207.2186 877.0 188
207.9822 874.0 188
208.4985 875.0 188
209.1357 878.0 188
209.9048 871.0 188
210.5420 898.0 188
211.0583 906.0 188
211.7010 899.0 188
212.3438 896.0 188
213.1073 889.0 188
213.7500 889.0 188
214.2609 890.0 188
214.9036 892.0 188
215.6671 880.0 188
216.1835 884.0 188
216.9525 896.0 188
217.4634 894.0 188
218.2324 893.0 188
218.7488 890.0 188
219.5123 891.0 188
220.0287 892.0 188
220.6714 894.0 188
221.4349 901.0 188
221.9513 916.0 188
222.5885 936.0 188
223.6377 2052.0 188
224.2804 2027.0 188
224.9011 1997.0 188
225.5438 1990.0 188
226.2964 1956.0 188
226.9336 1934.0 188
227.5598 1916.0 188
228.2025 1943.0 188
228.8232 1862.0 188
232.0917 504.0 188
233.4814 486.0 188
234.1241 487.0 188
235.7611 421.0 188
237.2772 411.0 188
238.0463 404.0 188
239.1833 389.0 188
239.9359 391.0 188
240.8258 392.0 188
242.0892 401.0 188
242.2156 402.0 188
242.8583 403.0 188
243.8580 403.0 188
244.2480 404.0 188
244.8743 403.0 188
245.6378 406.0 188
255.4047 488.0 188
255.6848 504.0 188
256.9812 690.0 188
257.4976 692.0 188
258.1512 714.0 188
259.9805 1096.0 188
260.6232 1092.0 188
261.2604 1102.0 188
263.4027 534.0 188
263.7927 547.0 188
266.0284 975.0 188
266.5448 983.0 188
267.1875 988.0 188
267.8247 989.0 188
268.5938 991.0 188
269.1046 997.0 188
269.7473 1006.0 188
272.2961 724.0 188
272.9333 735.0 188
273.8397 590.0 188
274.7296 572.0 188
275.6250 546.0 188
276.2622 523.0 188
277.0313 503.0 188
277.5421 486.0 188
278.4375 468.0 188
279.3274 452.0 188
280.0909 438.0 188
280.8545 423.0 188
281.4972 411.0 188
282.1509 400.0 188
282.9199 390.0 188
283.9362 377.0 188
284.4525 368.0 188
285.2161 359.0 188
285.7324 352.0 188
286.9958 343.0 188
287.3859 339.0 188
288.1549 340.0 188
288.7921 343.0 188
289.4513 345.0 188
289.9677 347.0 188
290.8740 350.0 188
290.8905 351.0 188
291.7969 355.0 188
292.3077 357.0 188
292.9669 359.0 188
293.7305 362.0 188
294.5105 365.0 188
295.1532 367.0 188
295.3125 372.0 188
296.0760 376.0 188
296.8561 381.0 188
297.3724 384.0 188
298.1525 386.0 188
298.7952 389.0 188
298.9490 395.0 188
299.8389 398.0 188
300.3717 403.0 188
301.1353 405.0 188
301.6681 409.0 188
302.1844 414.0 188
302.5909 419.0 188
303.3545 423.0 188
304.1400 429.0 188
304.4037 434.0 188
305.0574 439.0 188
305.7001 438.0 188
306.4801 448.0 188
306.9965 458.0 188
308.2928 467.0 188
308.9520 472.0 188
309.3420 478.0 188
310.6219 481.0 188
311.3855 468.0 188
312.2809 443.0 188
312.8082 444.0 188
313.4509 449.0 188
317.3071 482.0 188
317.5763 501.0 188
318.4662 489.0 188
319.2462 488.0 188
319.7626 483.0 188
320.4053 477.0 188
321.0425 474.0 188
321.8115 471.0 188
322.3279 467.0 188
323.1079 466.0 188
323.8715 459.0 188
324.2615 457.0 188
324.9042 452.0 188
325.6677 449.0 188
326.4478 446.0 188
326.9641 444.0 188
327.7332 441.0 188
328.2495 438.0 188
329.0131 434.0 188
329.6667 432.0 188
330.3094 431.0 188
331.0730 428.0 188
331.5894 424.0 188
332.4792 422.0 188
333.1219 420.0 188
333.6383 417.0 188
334.5282 416.0 188
335.1709 414.0 188
335.8081 413.0 188
336.3245 410.0 188
336.8573 408.0 188
337.7472 407.0 188
338.3899 406.0 188
338.7799 404.0 188
339.6698 403.0 188
340.1862 402.0 188
341.2024 399.0 188
341.5924 398.0 188
342.2296 400.0 188
346.9977 173.0 188
346.8109 293.0 188
347.0746 293.0 188
347.5909 292.0 188
348.7335 291.0 188
348.6237 291.0 188
349.6399 288.0 188
352.1063 394.0 188
352.3700 388.0 188
353.3698 387.0 188
353.7653 387.0 188
354.6552 387.0 188
