#RPLIDAR SCAN DATA
#COUNT=465
#Angule	Distance	Quality
355.9790 387.0 188
356.1053 387.0 188
356.9952 387.0 188
357.6215 387.0 188
358.1378 387.0 188
359.0112 387.0 188
359.2804 388.0 188
0.0275 388.0 188
0.6702 388.0 188
1.4172 393.0 188
4.8395 381.0 188
5.0922 391.0 188
5.9821 393.0 188
6.2292 392.0 188
6.8719 396.0 188
18.0780 228.0 188
18.7152 227.0 188
18.0890 227.0 188
18.6053 228.0 188
20.2313 226.0 188
19.8743 225.0 188
20.6213 225.0 188
22.5110 225.0 188
23.1372 225.0 188
23.7799 225.0 188
24.0436 226.0 188
25.0433 226.0 188
25.6860 227.0 188
26.3123 228.0 188
26.2024 229.0 188
26.3232 229.0 188
28.8556 230.0 188
33.4644 366.0 188
34.2169 359.0 188
34.8541 365.0 188
38.1226 250.0 188
36.5295 371.0 188
37.1667 372.0 188
39.6057 382.0 188
40.1221 385.0 188
41.0120 392.0 188
41.5283 395.0 188
41.7920 398.0 188
42.4347 401.0 188
43.1982 406.0 188
43.8409 413.0 188
44.3573 416.0 188
45.0000 421.0 188
45.5109 425.0 188
46.1536 431.0 188
49.4989 469.0 188
50.2625 475.0 188
50.9052 482.0 188
51.4215 488.0 188
52.1851 499.0 188
52.8278 505.0 188
53.3386 515.0 188
53.8550 526.0 188
54.3878 535.0 188
54.8877 559.0 188
56.0468 783.0 188
56.6840 796.0 188
57.2003 806.0 188
57.8265 824.0 188
58.4637 839.0 188
58.9801 860.0 188
59.7327 875.0 188
60.3699 895.0 188
60.8862 912.0 188
61.5125 932.0 188
62.1552 956.0 188
62.6715 980.0 188
63.3087 1002.0 188
63.9349 1024.0 188
64.5776 1048.0 188
65.0885 1064.0 188
65.8411 1032.0 188
66.4838 1028.0 188
66.9946 1025.0 188
67.7472 1023.0 188
69.6533 689.0 188
70.1532 740.0 188
70.9167 727.0 188
71.3123 773.0 188
72.0593 712.0 188
72.8229 707.0 188
73.4656 694.0 188
74.2291 692.0 188
74.8718 692.0 188
75.5145 691.0 188
76.0419 691.0 188
76.8109 689.0 188
77.3438 690.0 188
77.9810 689.0 188
78.7610 690.0 188
79.4037 690.0 188
79.9200 690.0 188
80.7001 690.0 188
81.3428 690.0 188
81.8701 691.0 188
82.6392 692.0 188
83.1665 700.0 188
83.9355 649.0 188
84.5892 634.0 188
85.4791 628.0 188
85.8746 629.0 188
86.7810 629.0 188
87.4182 630.0 188
87.8247 631.0 188
88.5938 632.0 188
89.2474 633.0 188
89.8901 634.0 188
90.5273 635.0 188
91.1865 637.0 188
91.8237 637.0 188
92.4829 638.0 188
93.1201 639.0 188
93.6530 641.0 188
94.2957 643.0 188
95.0757 644.0 188
95.7019 647.0 188
96.2018 648.0 188
96.9653 650.0 188
97.4652 652.0 188
98.1079 654.0 188
98.8550 655.0 188
99.3713 657.0 188
99.9976 659.0 188
100.6238 667.0 188
101.2610 668.0 188
101.7609 675.0 188
102.2772 730.0 188
103.5461 1123.0 188
104.0625 1128.0 188
104.8096 1135.0 188
105.4358 1136.0 188
106.0730 1140.0 188
106.5729 1145.0 188
107.3419 1148.0 188
107.8418 1153.0 188
108.4790 1159.0 188
109.1052 1183.0 188
109.7314 1161.0 188
110.3741 1167.0 188
110.9949 1174.0 188
111.7639 1140.0 188
112.7802 3324.0 188
113.4174 3294.0 188
116.6199 2869.0 188
117.3889 2737.0 188
118.0261 2683.0 188
118.6853 2619.0 188
119.3280 2531.0 188
119.9652 2529.0 188
120.6079 2547.0 188
121.2451 2568.0 188
121.8878 2562.0 188
122.5305 2541.0 188
123.1677 2465.0 188
123.8269 2434.0 188
124.4641 2389.0 188
125.1068 2354.0 188
125.8704 2331.0 188
126.3867 2285.0 188
127.0294 2253.0 188
127.7930 2220.0 188
128.4357 2192.0 188
129.0894 2157.0 188
129.7321 2134.0 188
130.3748 2118.0 188
131.0120 2079.0 188
131.6547 2070.0 188
132.4182 1671.0 188
133.0609 1638.0 188
133.6981 1692.0 188
134.4836 1614.0 188
135.0000 1657.0 188
135.7635 1652.0 188
136.4063 1654.0 188
136.9171 1672.0 188
137.5763 1705.0 188
138.2135 1743.0 188
138.8562 1761.0 188
139.4989 1791.0 188
140.1361 1816.0 188
140.7953 1838.0 188
141.4325 1874.0 188
142.0752 1903.0 188
143.7177 796.0 188
144.3713 785.0 188
145.1404 771.0 188
145.6512 760.0 188
146.4203 756.0 188
147.0575 762.0 188
147.7167 758.0 188
148.2330 752.0 188
148.8702 752.0 188
149.6393 752.0 188
150.1666 755.0 188
150.9357 771.0 188
151.6992 755.0 188
152.2156 761.0 188
152.7319 771.0 188
153.5120 768.0 188
154.1547 775.0 188
154.7919 776.0 188
155.4346 771.0 188
155.9674 785.0 188
156.6046 792.0 188
157.2638 796.0 188
157.7966 806.0 188
158.4503 808.0 188
159.2303 802.0 188
159.8895 801.0 188
160.5432 803.0 188
161.0760 810.0 188
161.8396 818.0 188
162.4988 822.0 188
163.1525 792.0 188
163.8116 811.0 188
