#RPLIDAR SCAN DATA
#COUNT=465
#Angule	Distance	Quality
355.3583 387.0 188
356.1053 387.0 188
356.7151 387.0 188
357.3413 387.0 188
357.8412 387.0 188
358.5938 387.0 188
359.4672 388.0 188
0.0769 388.0 188
0.4504 388.0 188
1.3239 392.0 188
4.3561 396.0 188
4.7626 390.0 188
5.6525 393.0 188
6.1853 391.0 188
6.8280 395.0 188
17.4353 230.0 188
18.0780 228.0 188
18.9679 228.0 188
17.9956 227.0 188
19.3854 227.0 188
18.9185 226.0 188
19.6875 226.0 188
20.5884 225.0 188
22.6044 225.0 188
23.2471 226.0 188
23.4009 225.0 188
22.9175 226.0 188
24.0765 226.0 188
24.0930 227.0 188
26.1200 229.0 188
26.1365 230.0 188
27.2955 229.0 188
28.4216 230.0 188
29.6851 238.0 188
33.8434 359.0 188
34.8431 362.0 188
37.7161 247.0 188
36.7163 372.0 188
37.2162 371.0 188
37.8589 372.0 188
39.6057 383.0 188
39.9792 383.0 188
40.8746 389.0 188
41.2482 394.0 188
41.7480 399.0 188
42.2479 400.0 188
42.8741 411.0 188
43.5114 411.0 188
44.5111 414.0 188
44.7803 418.0 188
45.5273 423.0 188
46.1700 427.0 188
46.6699 432.0 188
49.5923 472.0 188
49.9658 469.0 188
50.8557 480.0 188
51.2292 487.0 188
51.9983 494.0 188
52.4982 504.0 188
52.8882 514.0 188
53.5144 520.0 188
54.2780 533.0 188
54.6515 545.0 188
56.5576 789.0 188
56.9531 804.0 188
57.5739 818.0 188
58.3429 833.0 188
58.8428 848.0 188
59.4800 866.0 188
59.9799 888.0 188
60.6226 905.0 188
61.2488 924.0 188
61.8860 941.0 188
62.3859 971.0 188
63.0286 991.0 188
63.6548 1014.0 188
64.2920 1038.0 188
64.9347 1057.0 188
65.5609 1036.0 188
66.1981 1031.0 188
66.8408 1027.0 188
67.4670 1023.0 188
70.6366 723.0 188
71.1530 744.0 188
72.5427 723.0 188
73.1854 700.0 188
73.9325 692.0 188
74.4489 691.0 188
75.0916 690.0 188
75.7178 690.0 188
76.4813 690.0 188
76.9977 690.0 188
77.6239 691.0 188
78.3875 691.0 188
79.0302 688.0 188
79.5300 690.0 188
80.1672 690.0 188
80.9363 691.0 188
81.4362 690.0 188
82.0734 690.0 188
82.7161 691.0 188
83.3423 690.0 188
84.0894 643.0 188
84.8584 624.0 188
85.4791 628.0 188
85.9955 629.0 188
86.7480 630.0 188
87.2479 630.0 188
88.1378 631.0 188
88.5114 632.0 188
89.4012 611.0 188
