#RPLIDAR SCAN DATA
#COUNT=127
#Angule	Distance	Quality
90.8734 510.0 188
91.5436 486.0 188
92.4664 476.0 188
93.1366 468.0 188
93.7958 463.0 188
94.7186 457.0 188
95.3888 456.0 188
96.0590 457.0 188
96.7181 456.0 188
97.3883 456.0 188
97.8113 453.0 188
98.7341 447.0 188
99.2615 446.0 188
99.8108 447.0 188
100.7336 449.0 188
101.4038 455.0 188
101.9366 464.0 188
102.7332 458.0 188
103.1561 455.0 188
103.9526 468.0 188
104.6063 474.0 188
105.1556 485.0 188
105.9521 470.0 188
106.7487 465.0 188
107.4023 459.0 188
107.9517 455.0 188
108.7482 448.0 188
109.5447 444.0 188
110.2148 439.0 188
110.8740 436.0 188
111.5442 430.0 188
112.0935 426.0 188
112.7637 422.0 188
113.5602 419.0 188
114.4666 419.0 188
114.8895 419.0 188
115.5597 421.0 188
116.3562 422.0 188
116.9055 423.0 188
117.5757 425.0 188
118.3557 428.0 188
119.0259 431.0 188
119.7015 433.0 188
119.9982 434.0 188
120.6683 438.0 188
121.3275 439.0 188
121.9977 441.0 188
122.7942 443.0 188
123.4644 445.0 188
124.2609 447.0 188
124.5465 450.0 188
125.4639 454.0 188
125.8868 458.0 188
126.5625 465.0 188
127.3590 470.0 188
127.9028 477.0 188
128.4192 484.0 188
129.3091 490.0 188
129.5892 496.0 188
130.4791 497.0 188
131.0120 502.0 188
131.7810 506.0 188
132.3083 514.0 188
132.8247 518.0 188
133.4674 524.0 188
133.9948 527.0 188
134.5111 536.0 188
135.1703 546.0 188
135.8075 562.0 188
136.3403 575.0 188
136.8567 599.0 188
138.4662 2037.0 188
139.1199 2008.0 188
139.7626 1987.0 188
140.4218 1969.0 188
141.0590 1953.0 188
141.7017 1933.0 188
142.4817 1907.0 188
143.1244 1882.0 188
143.7781 1872.0 188
144.4208 1879.0 188
144.9481 2044.0 188
145.7172 1878.0 188
146.9037 1908.0 188
147.7002 1894.0 188
148.3594 1896.0 188
149.0295 1973.0 188
149.5734 1995.0 188
150.2325 1950.0 188
150.9027 1946.0 188
151.6992 1903.0 188
152.2321 1944.0 188
153.0286 1905.0 188
153.6823 1891.0 188
154.2316 1866.0 188
155.0281 1863.0 188
155.6873 1847.0 188
156.3574 1843.0 188
157.0276 1820.0 188
157.6868 1826.0 188
158.3569 1803.0 188
159.0106 1807.0 188
159.6863 1780.0 188
160.3564 1788.0 188
161.0156 1769.0 188
161.6858 1768.0 188
162.3560 1759.0 188
163.0151 1757.0 188
163.6853 1748.0 188
164.3390 1743.0 188
165.0146 1746.0 188
165.6848 1745.0 188
166.3385 1744.0 188
167.1405 1678.0 188
167.6843 1671.0 188
168.4369 1668.0 188
168.9478 1667.0 188
169.5740 1644.0 188
170.3430 1568.0 188
170.9637 1568.0 188
171.6064 1561.0 188
172.2327 1554.0 188
172.8699 1559.0 188
173.5126 1581.0 188
174.1388 1571.0 188
351.3867 203.0 188
352.0459 199.0 188
