#RPLIDAR SCAN DATA
#COUNT=126
#Angule	Distance	Quality
91.9336 1915.0 188
92.7136 1899.0 188
93.3728 1864.0 188
94.0265 1837.0 188
94.6857 1818.0 188
95.3394 1820.0 188
95.9985 1825.0 188
96.6522 1825.0 188
97.3114 1824.0 188
97.9651 1825.0 188
98.6243 1833.0 188
99.9371 1611.0 188
100.7172 1536.0 188
101.3708 1508.0 188
102.0135 1469.0 188
102.6563 1459.0 188
103.2935 1457.0 188
104.0625 1465.0 188
104.5734 1479.0 188
105.2161 1481.0 188
105.8588 1502.0 188
106.4960 1507.0 188
107.1387 1513.0 188
107.7759 1531.0 188
108.4186 1540.0 188
109.0613 1555.0 188
109.6985 1549.0 188
111.5112 1967.0 188
112.0276 1977.0 188
112.7966 1982.0 188
113.3075 1992.0 188
113.9502 1999.0 188
114.5929 2011.0 188
115.2301 2019.0 188
115.8728 2026.0 188
116.5155 2037.0 188
117.1527 2056.0 188
117.7954 2061.0 188
118.4326 2077.0 188
119.0753 2088.0 188
119.7180 2095.0 188
120.3552 2131.0 188
120.9979 2138.0 188
121.6516 2164.0 188
122.2943 2179.0 188
122.9480 2187.0 188
123.6072 2201.0 188
124.2609 2230.0 188
124.9200 2250.0 188
125.4529 2258.0 188
126.2329 2287.0 188
126.8866 2300.0 188
127.4194 2310.0 188
128.0731 2332.0 188
128.7323 2361.0 188
129.3860 2359.0 188
130.0452 2344.0 188
130.8252 2328.0 188
131.4844 2278.0 188
132.1381 2256.0 188
132.7917 2225.0 188
133.4509 2201.0 188
134.1046 2177.0 188
134.7638 2156.0 188
135.4175 2130.0 188
136.0767 2110.0 188
136.7303 2082.0 188
137.3895 2065.0 188
138.0432 2048.0 188
138.7024 2023.0 188
139.3561 2009.0 188
140.0153 1996.0 188
140.6689 1978.0 188
141.3281 1952.0 188
142.1082 1931.0 188
142.6355 1907.0 188
143.2782 1888.0 188
144.0582 1874.0 188
144.5911 1887.0 188
145.2448 2018.0 188
146.0303 1872.0 188
147.2168 1911.0 188
147.9968 1904.0 188
148.5297 1890.0 188
149.1833 1955.0 188
149.8425 1990.0 188
150.4962 1953.0 188
151.1554 1950.0 188
151.9354 1914.0 188
152.4683 1940.0 188
153.1219 1909.0 188
153.8855 1882.0 188
154.5447 1858.0 188
155.1984 1858.0 188
155.8575 1846.0 188
156.5112 1845.0 188
157.1704 1820.0 188
157.8241 1830.0 188
158.4833 1804.0 188
159.1370 1808.0 188
159.7961 1779.0 188
160.4498 1783.0 188
161.1090 1771.0 188
161.7627 1768.0 188
162.4219 1768.0 188
163.0756 1755.0 188
163.7292 1748.0 188
164.3555 1743.0 188
164.9982 1745.0 188
165.6244 1742.0 188
166.2616 1740.0 188
166.9043 1678.0 188
167.5305 1671.0 188
168.2941 1669.0 188
168.9368 1668.0 188
169.5575 1651.0 188
170.2002 1569.0 188
170.8264 1566.0 188
171.4636 1562.0 188
172.1063 1563.0 188
172.7325 1562.0 188
173.3698 1581.0 188
174.0125 1569.0 188
350.9198 204.0 188
351.5625 199.0 188
352.2162 198.0 188
