#RPLIDAR SCAN DATA
#COUNT=128
#Angule	Distance	Quality
91.8732 1919.0 188
92.6697 1905.0 188
93.3234 1873.0 188
93.9825 1837.0 188
94.6362 1817.0 188
95.2954 1820.0 188
95.9491 1821.0 188
96.6083 1822.0 188
97.2620 1826.0 188
97.9211 1828.0 188
98.5748 1834.0 188
99.2450 1842.0 188
99.8877 1837.0 188
100.5304 1841.0 188
101.1676 1844.0 188
101.8268 1856.0 188
102.3431 1861.0 188
103.1067 1860.0 188
103.6230 1865.0 188
104.4031 1868.0 188
104.9194 1876.0 188
105.6830 1881.0 188
106.3422 1895.0 188
106.9794 1894.0 188
107.6221 1903.0 188
108.1384 1907.0 188
108.7921 1916.0 188
109.5612 1930.0 188
110.0775 1936.0 188
110.8575 1945.0 188
111.3739 1975.0 188
112.0111 1974.0 188
112.6538 1982.0 188
113.3075 1998.0 188
113.9502 2002.0 188
114.5929 2008.0 188
115.2466 2024.0 188
115.8893 2030.0 188
116.5265 2036.0 188
117.1692 2058.0 188
117.8229 2060.0 188
118.4656 2067.0 188
119.4818 1482.0 188
120.0146 1488.0 188
120.6519 1476.0 188
121.2946 1479.0 188
121.9482 1479.0 188
122.5909 1478.0 188
123.2446 1480.0 188
123.8873 1482.0 188
124.5465 1484.0 188
125.1837 1486.0 188
125.8429 1490.0 188
126.4801 1490.0 188
127.1393 1491.0 188
127.7765 1494.0 188
128.4357 1497.0 188
129.0729 1500.0 188
129.7321 1502.0 188
130.6384 2341.0 188
131.4185 2300.0 188
132.0612 2263.0 188
132.7148 2246.0 188
133.3575 2215.0 188
134.0112 2186.0 188
134.6539 2159.0 188
135.3076 2144.0 188
135.9503 2107.0 188
136.6040 2087.0 188
137.2467 2068.0 188
137.9059 2054.0 188
138.5431 2024.0 188
139.2023 2012.0 188
139.8395 2000.0 188
140.6250 1985.0 188
141.1523 1950.0 188
141.8115 1945.0 188
142.4652 1906.0 188
143.2617 1893.0 188
143.9209 1883.0 188
144.4482 1923.0 188
145.2338 1897.0 188
145.9039 1714.0 188
146.4368 1929.0 188
147.2168 1915.0 188
147.8705 1903.0 188
148.5461 1886.0 188
149.0735 1934.0 188
149.7327 1968.0 188
150.3864 1970.0 188
151.1829 1954.0 188
151.8420 1899.0 188
152.4957 1920.0 188
153.0286 1900.0 188
153.8251 1914.0 188
154.4843 1861.0 188
155.1379 1856.0 188
155.7916 1845.0 188
156.4673 1851.0 188
157.1210 1822.0 188
157.7802 1830.0 188
158.4338 1803.0 188
159.1040 1807.0 188
159.7632 1789.0 188
160.4169 1782.0 188
161.0760 1769.0 188
161.7462 1767.0 188
162.3889 1770.0 188
163.0426 1763.0 188
163.6853 1748.0 188
164.3390 1744.0 188
164.9982 1746.0 188
165.6354 1741.0 188
166.2946 1741.0 188
166.9482 1678.0 188
167.5909 1671.0 188
168.3710 1667.0 188
168.8873 1669.0 188
169.6674 1572.0 188
170.3265 1568.0 188
170.9637 1562.0 188
171.6229 1562.0 188
172.2766 1558.0 188
172.9193 1583.0 188
173.5730 1557.0 188
351.1835 204.0 188
351.4636 199.0 188
352.4799 200.0 188
